Date,Prix (EUR)
2025-02-21,2610.5205255269602
2025-02-22,2540.348383470508
2025-02-23,2643.0387396311103
2025-02-24,2698.8556810023024
2025-02-25,2392.6314537559733
2025-02-26,2372.0443730639586
2025-02-27,2217.238881802848
2025-02-27,2232.0615702141977
