Date,Prix (EUR)
2025-02-21,93680.66155266784
2025-02-22,91867.90813457828
2025-02-23,92326.33967418694
2025-02-24,91955.06321410212
2025-02-25,87363.06196029286
2025-02-26,84371.1455747451
2025-02-27,79980.88889487673
2025-02-27,82033.96956459752
